state,row,col,best_action,best_q,n_near_optimal,on_shortest_path
769,25,19,3,0.30293424044999,1,False
770,25,20,0,0.3410067870998778,1,False
771,25,21,1,0.4538809002597983,1,False
772,25,22,3,0.41253836778412195,1,False
773,25,23,0,0.4498033240252808,1,False
774,25,24,3,0.4185906594225201,2,False
775,25,25,1,0.4549642133589266,1,False
776,25,26,1,0.7356505214442167,1,True
777,25,27,0,0.609355375927219,1,False
778,25,28,1,0.4905961111410645,1,False
779,25,29,1,0.8640480838650705,1,False
780,26,0,3,-0.42590781693085467,1,False
781,26,1,3,-0.3962366116138154,1,False
782,26,2,1,-0.3670015625114856,1,False
783,26,3,1,-0.3359853356817917,1,False
784,26,4,2,-0.36552298210110257,1,False
785,26,5,2,-0.3939807408685765,1,False
786,26,6,3,-0.242768189398507,1,False
787,26,7,1,-0.21181109176636803,1,True
788,26,8,1,-0.17718362811395208,1,False
789,26,9,0,-0.14631105688722373,1,False
790,26,10,3,-0.1126134041489151,2,False
791,26,11,1,-0.08189123587192938,1,False
792,26,12,3,0.0209056795496738,2,False
793,26,13,1,0.05309870603599358,1,False
794,26,14,3,0.1559566936591807,1,True
795,26,15,3,0.19228603529513244,1,True
796,26,16,3,0.22812770775862262,1,True
797,26,17,3,0.2663295196078114,1,True
798,26,18,3,0.30303035503161213,2,True
799,26,19,3,0.3391674004323091,1,True
800,26,20,1,0.3766078218114959,1,True
801,26,21,1,0.4926095867009287,1,False
802,26,22,2,0.45391343070315954,1,False
803,26,23,3,0.4176762368475866,2,False
804,26,24,3,0.4540179150573058,1,False
805,26,25,1,0.49367552932236125,1,False
806,26,26,1,0.7776256022294025,1,True
807,26,27,0,0.5693081813732493,1,False
808,26,28,2,0.5297067026231398,1,False
809,26,29,1,0.9062435311363244,1,False
810,27,0,0,-0.45439098088007446,1,False
811,27,1,3,-0.3663214261387617,1,False
812,27,2,3,-0.3367927318406915,1,False
813,27,3,3,-0.30609595168827813,1,False
814,27,4,3,-0.2742140786159348,1,False
815,27,5,3,-0.24358679434361027,1,False
816,27,6,3,-0.2126589675979876,1,False
817,27,7,1,-0.18052736012702134,1,True
818,27,8,3,-0.14551194873731674,2,False
