state,row,col,covered,true_value_pi_beta,near_death,critic_pred_pi_beta,critic_abs_error,pi_d_star_action,best_config_action,argmax_agree,rank_correlation
198,6,18,True,-0.2055742119601498,False,-0.20572498440742493,0.00015077244727512706,1,1,1,0.19999999999999998
199,6,19,True,-0.17289363208706632,False,-0.2144375741481781,0.04154394206111178,0,0,1,0.19999999999999998
200,6,20,True,-0.12934921686188258,False,-0.03574562817811966,0.09360358868376292,3,3,1,0.632455532033676
201,6,21,True,-0.09715315744393188,False,-0.13736853003501892,0.04021537259108704,1,1,1,1.0
202,6,22,True,-1.00000090500067,True,-0.3128860592842102,0.6871148457164598,3,3,1,0.7745966692414834
203,6,23,True,-1.0000010101165577,True,-0.29758480191230774,0.70241620820425,3,3,1,0.9486832980505139
204,6,24,True,-1.0000009834705246,True,-0.4201672375202179,0.5798337459503067,3,2,0,0.7378647873726218
205,6,25,False,-1.0000001022167473,True,0.12491277605295181,1.124912878269699,0,3,0,
206,6,26,False,-1.0000000391352024,True,0.10233836621046066,1.102338405345663,0,3,0,
207,6,27,False,-0.9999999763340531,True,0.25344476103782654,1.2534447373718796,0,3,0,
208,6,28,False,-1.000000162351253,True,0.1891009509563446,1.1891011133075977,0,3,0,
209,6,29,False,-1.0000001999723578,True,0.30709385871887207,1.3070940586912299,0,1,0,
210,7,0,False,-0.9999999241281765,True,-0.9115117192268372,0.08848820490133935,0,0,1,
211,7,1,False,-0.9999981598010335,True,-1.0315306186676025,0.03153245886656908,0,3,0,
212,7,2,False,-0.9999981983446228,True,-0.7193158268928528,0.28068237145177,0,0,1,
213,7,3,False,-0.9999981853024498,True,-0.8412942290306091,0.15870395627184064,0,2,0,
214,7,4,True,-0.9988564131986806,True,-0.7052227854728699,0.2936336277258107,3,2,0,0.2581988897471611
215,7,5,True,-0.9994412447600854,True,-0.7600408792495728,0.2394003655105127,2,0,0,0.21081851067789195
216,7,6,True,-0.9997612685730458,True,-0.8140208125114441,0.18574045606160172,0,0,1,0.316227766016838
217,7,7,True,-0.999768518641505,True,-0.7778769731521606,0.2218915454893443,0,0,1,0.316227766016838
218,7,8,True,-0.9995308253578261,True,-0.7469120621681213,0.2526187631897048,1,0,0,0.39999999999999997
219,7,9,True,-0.99946867101966,True,-0.7068676948547363,0.29260097616492364,0,0,1,0.7999999999999999
220,7,10,True,-0.9996779629931724,True,-0.4554040729999542,0.5442738899932181,3,3,1,0.316227766016838
221,7,11,True,-0.9996741570298648,True,-0.6041157245635986,0.3955584324662662,1,3,0,0.7378647873726218
222,7,12,True,-0.9996915806100265,True,-0.4562239348888397,0.5434676457211868,2,2,1,0.7999999999999999
223,7,13,True,-0.999798023739096,True,-0.5104016065597534,0.48939641717934257,3,3,1,0.9486832980505139
224,7,14,True,-0.9997929010389169,True,-0.29227155447006226,0.7075213465688547,3,3,1,0.7999999999999999
225,7,15,True,-0.9997903567974609,True,-0.39169055223464966,0.6080998045628112,3,3,1,0.7999999999999999
226,7,16,True,-0.9997874120746602,True,-0.42663443088531494,0.5731529811893452,1,1,1,0.7999999999999999
227,7,17,True,-0.20470169839843294,False,-0.26052457094192505,0.05582287254349211,3,3,1,0.632455532033676
