state,row,col,covered,pi_d_star_V,pi_d_star_action,best_config_action,argmax_disagree,rank_correlation,ppo_discounted_return,ppo_discounted_return_stderr,value_gap,is_disagreement,severity_raw,severity,statistically_significant,true_value_pi_beta,critic_pred_pi_beta,critic_abs_error
44,1,14,True,-0.9999989913057293,3,3,0,0.9486832980505139,-0.8660203251420379,0.0,-0.13397866616369147,0,0.0,0.0,0,-0.9997841815402128,-0.3218069076538086,0.6779772738864042
45,1,15,True,-0.9999989913057292,1,1,0,1.0,-0.8660203251420379,0.0,-0.13397866616369136,0,0.0,0.0,0,-0.9997740367481146,-0.3140559494495392,0.6857180872985754
46,1,16,True,-0.9999989913057289,1,1,0,0.4472135954999579,-0.8660203251420379,0.0,-0.13397866616369103,0,0.0,0.0,0,-0.9997631807900634,-0.16580811142921448,0.833955069360849
47,1,17,True,-0.9999989913057288,3,3,0,1.0,-0.8660203251420379,0.0,-0.13397866616369092,0,0.0,0.0,0,-0.9998869856878384,-0.30891385674476624,0.6909731289430722
48,1,18,True,-0.9999989913057287,0,2,1,0.2581988897471611,-0.8660203251420379,0.0,-0.1339786661636908,0,0.0,0.0,0,-0.9998891771694021,-0.38661807775497437,0.6132710994144277
49,1,19,True,-0.9999989913057303,3,1,1,0.21081851067789195,-0.7659903266813467,0.027081186202324574,-0.23400866462438363,0,0.0,0.0,0,-0.9811418747180853,-0.0319647416472435,0.9491771330708418
50,1,20,True,-0.9999989913057303,3,1,1,0.2581988897471611,-0.8259654270553105,0.016066167073361566,-0.17403356425041983,0,0.0,0.0,0,-0.9994501646216882,-0.13904830813407898,0.8604018564876093
51,1,21,True,-0.9999989913057303,1,0,1,-0.21081851067789195,-0.8660203251420379,0.0,-0.13397866616369247,0,0.0,0.0,0,-0.9999530949396327,0.00954020768404007,1.0094933026236728
52,1,22,False,-50.0,0,1,1,,-0.8660203251420379,0.0,-49.13397967485796,0,0.0,0.0,0,-1.0000003312291232,-0.094512440264225,0.9054878909648982
53,1,23,False,-50.0,0,1,1,,-0.8660203251420379,0.0,-49.13397967485796,0,0.0,0.0,0,-1.0000002259093999,-0.03388277441263199,0.9661174514967679
54,1,24,False,-50.0,0,1,1,,-0.8660203251420379,0.0,-49.13397967485796,0,0.0,0.0,0,-0.9999967465170969,0.17771044373512268,1.1777071902522196
55,1,25,False,-50.0,0,1,1,,-0.8660203251420379,0.0,-49.13397967485796,0,0.0,0.0,0,-0.9999959414812045,0.14500269293785095,1.1449986344190555
56,1,26,False,-50.0,0,1,1,,-0.8660203251420379,0.0,-49.13397967485796,0,0.0,0.0,0,-0.9999957094737448,0.18624389171600342,1.1862396011897482
57,1,27,False,-50.0,0,1,1,,-0.8660203251420379,0.0,-49.13397967485796,0,0.0,0.0,0,-0.9999955078383276,-0.02942272275686264,0.9705727850814649
58,1,28,False,-50.0,0,1,1,,-0.8660203251420379,0.0,-49.13397967485796,0,0.0,0.0,0,-1.0000006339461087,0.3416532278060913,1.3416538617522
